         167619 function calls (163127 primitive calls) in 13.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    0.001    0.000 request.py:445(add_handler)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
      189    0.000    0.000    0.001    0.000 message.py:462(get)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
      590    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 messagebox.py:25(<module>)
     2671    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
     1049    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 scimath.py:17(<module>)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
      251    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
       21    0.001    0.000    0.001    0.000 socket.py:221(makefile)
       21    0.000    0.000    0.001    0.000 parse.py:412(urlsplit)
     3491    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      281    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      574    0.000    0.000    0.001    0.000 <string>:1(__new__)
     2693    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       21    0.000    0.000    0.001    0.000 JpegImagePlugin.py:390(load_read)
       21    0.000    0.000    0.001    0.000 parse.py:990(splithost)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
        3    0.000    0.000    0.001    0.000 fnmatch.py:48(filter)
        1    0.000    0.000    0.001    0.001 message.py:105(Message)
       12    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
     2109    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       84    0.000    0.000    0.001    0.000 message.py:564(get_content_type)
        1    0.000    0.000    0.001    0.001 request.py:797(__init__)
     7472    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 request.py:2662(getproxies)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
     3469    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 app.py:103(retrieveDB)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
        1    0.001    0.001    0.001    0.001 TiffImagePlugin.py:969(TiffImageFile)
       84    0.000    0.000    0.001    0.000 client.py:1200(putheader)
  405/384    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      205    0.000    0.000    0.001    0.000 __init__.py:96(_cnfmerge)
       50    0.000    0.000    0.001    0.000 __init__.py:2164(place_configure)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       21    0.000    0.000    0.001    0.000 client.py:1071(putrequest)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
       21    0.000    0.000    0.001    0.000 feedparser.py:184(close)
      314    0.000    0.000    0.001    0.000 _policybase.py:293(header_source_parse)
      563    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
       42    0.001    0.000    0.001    0.000 socket.py:139(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       21    0.000    0.000    0.001    0.000 ssl.py:402(_encode_hostname)
       53    0.001    0.000    0.001    0.000 __init__.py:2253(_setup)
       21    0.000    0.000    0.001    0.000 __init__.py:2804(insert)
     5708    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 request.py:2456(getproxies_environment)
       21    0.001    0.000    0.001    0.000 {method 'setsockopt' of '_socket.socket' objects}
      524    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      672    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
       44    0.000    0.000    0.001    0.000 glob.py:114(_iterdir)
       84    0.000    0.000    0.001    0.000 socket.py:97(_intenum_converter)
      224    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       78    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
